Order,Number of Parameters,AIC,BIC,Log-Likelihood,Deviance R^2,Cox-Snell R^2,Nagelkerke R^2,Sum of Squared Residuals,CV Brier,CV AUC
1,5,209547.61204378243,209603.7033107278,-104768.80602189121,0.3220451587244395,0.08646570868163095,0.35316599301147744,328974.93660999887,0.0572317627349378,0.912029430495843
2,15,191557.3646126816,191725.6384135177,-95763.6823063408,0.3803169616689832,0.10129265090846395,0.41372609082023704,277461.64623544365,0.0541500153822055,0.9218320429138208
3,35,187618.50113331396,188011.14000193155,-93774.25056665698,0.3931904965551599,0.1045356592536012,0.4269720386071453,273158.7953839097,0.0534104083332708,0.9232018762502294
4,70,186732.17219206903,187517.4499293042,-93296.08609603452,0.3962846801207981,0.10531337775296323,0.43014860108837016,271313.6296039462,0.0532844445038886,0.9234090023224716
5,126,186543.35419163905,187956.85411866233,-93145.67709581953,0.397257970871538,0.10555787327711685,0.4311472340249544,270382.7457697947,0.0532534319107135,0.9234550502370716
6,210,186528.15873790052,188883.991949606,-93054.07936895026,0.3978506961753644,0.10570673611428227,0.431755258784268,270420.71531792276,0.05326837950542,0.9233725002339328
7,330,186482.4785784835,190184.50219687782,-92911.23928924176,0.3987750087378874,0.10593882758195328,0.4327032278103628,271022.45460932644,0.0532961253217622,0.9232677283961174
8,495,186550.92428544414,192103.9597130356,-92780.46214272207,0.39962126253210073,0.10615126596287427,0.4335709245296248,271480.23296583496,0.0840613984417149,0.8979679168915646
9,715,3545242.0012179976,3553263.0523911854,-1771906.0006089988,-10.465934346403488,-17.896318548019895,-73.09685200792077,9785358.386934672,,
10,1001,3529738.531806452,3540968.0034489147,-1763868.265903226,-10.413922479860611,-17.62233236746964,-71.9777655746882,9740982.507537678,,
